,0,1,2,3,4
0,9934,4970,4964,66,0
1,9887,4945,4942,47,0
2,9892,4948,4944,37,42
3,9950,4978,4972,57,157
4,10117,5061,5056,43,367
5,10345,5168,5177,51,646
6,10624,5291,5333,56,981
7,10950,5460,5490,60,1367
8,11328,5652,5676,59,1804
9,11710,5842,5868,64,2250
10,12106,6053,6053,56,2702
11,12487,6232,6255,74,3157
12,12869,6415,6454,97,3636
13,13232,6594,6638,107,4106
14,13578,6765,6813,142,4594
15,13904,6910,6994,150,5070
16,14206,7055,7151,180,5552
17,14452,7167,7285,235,6033
18,14666,7269,7397,255,6502
19,14840,7375,7465,303,6979
20,14971,7459,7512,322,7432
21,15025,7478,7547,377,7863
22,15043,7497,7546,413,8294
23,15030,7508,7522,414,8695
24,14876,7436,7440,466,9007
25,14677,7337,7340,470,9278
26,14422,7207,7215,449,9472
27,14122,7056,7066,450,9622
28,13843,6916,6927,423,9766
29,13562,6783,6779,451,9936
30,13345,6667,6678,434,10153
31,13144,6576,6568,468,10420
32,12976,6482,6494,459,10711
33,12860,6407,6453,450,11045
34,12795,6378,6417,424,11404
35,12750,6349,6401,401,11760
36,12724,6338,6386,422,12156
37,12761,6365,6396,376,12569
38,12863,6399,6464,330,13001
39,12920,6412,6508,353,13411
40,13072,6512,6560,294,13857
41,13190,6589,6601,323,14298
42,13315,6648,6667,294,14717
43,13436,6717,6719,327,15165
44,13550,6784,6766,322,15601
45,13663,6839,6824,311,16025
46,13700,6849,6851,369,16431
47,13743,6854,6889,361,16835
48,13720,6860,6860,389,17201
49,13688,6863,6825,382,17551
50,13624,6837,6787,361,17848
51,13448,6742,6706,416,18088
52,13220,6609,6611,453,18313
53,13006,6499,6507,411,18510
54,12818,6415,6403,378,18700
55,12614,6324,6290,403,18899
56,12386,6211,6175,428,19099
57,12172,6111,6061,440,19325
58,11968,5998,5970,433,19554
59,11897,5964,5933,387,19870
60,11836,5942,5894,393,20202
61,11782,5936,5846,396,20544
62,11717,5887,5830,386,20865
63,11775,5917,5858,303,21226
64,11765,5907,5858,358,21574
65,11824,5953,5871,332,21965
66,11965,6010,5955,269,22375
67,12096,6087,6009,288,22794
68,12179,6135,6044,291,23168
69,12268,6171,6097,313,23570
70,12321,6194,6127,310,23933
71,12365,6226,6139,334,24311
72,12393,6229,6164,321,24660
73,12443,6262,6181,310,25020
74,12396,6231,6165,364,25337
75,12339,6220,6119,368,25648
76,12220,6167,6053,374,25903
77,12185,6160,6025,307,26175
78,12091,6110,5981,339,26420
79,11940,6031,5909,372,26641
80,11747,5933,5814,387,26835
81,11560,5829,5731,387,27035
82,11350,5744,5606,404,27229
83,11199,5669,5530,390,27468
84,11060,5586,5474,386,27715
85,10964,5541,5423,359,27978
86,10887,5496,5391,339,28240
87,10840,5489,5351,334,28527
88,10811,5457,5354,326,28824
89,10840,5463,5377,276,29129
90,10877,5481,5396,311,29477
91,10911,5480,5431,307,29818
92,10951,5501,5450,283,30141
93,11001,5540,5461,271,30462
94,11099,5588,5511,259,30819
95,11107,5598,5509,299,31126
96,11149,5604,5545,292,31460
97,11215,5627,5588,292,31818
98,11229,5631,5598,301,32133
99,11235,5619,5616,300,32439
